         time                    omegax                   omegay                   omegaz                     bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    3.141592653589793e+02    1.305261922200517e-01    0.000000000000000e+00   -9.914448613738104e-01   -0.000000000000000e+00    1.000000000000000e+00    0.000000000000000e+00    9.914448613738104e-01    0.000000000000000e+00    1.305261922200517e-01
 1.000000000000000e-02    4.612717278351349e-03   -9.544182131617573e-02    3.141592653589793e+02   -1.300526876494264e-01    2.940081946130324e-09    9.915070844099643e-01    1.524937113256869e-05   -9.999999998817147e-01    2.003174573638519e-06    9.915070842927013e-01    1.538037774927072e-05    1.300526876339991e-01
 2.000000000000000e-02   -1.840902482421686e-02    1.900058866986123e-01    3.141592653589793e+02    1.286363519053068e-01   -9.360627961250631e-08   -9.916918316535943e-01   -1.218426198541127e-04    9.999999924507837e-01   -1.589908870728782e-05    9.916918241686123e-01    1.228755316291634e-04    1.286363509227977e-01
 3.000000000000000e-02    4.126373172372830e-02   -2.828221438176849e-01    3.141592653589793e+02   -1.262896951928327e-01    7.057539874637600e-07    9.919934036512371e-01    4.103618533107160e-04   -9.999999143994790e-01    5.295421028552469e-05    9.919933187734951e-01    4.137638226749650e-04    1.262896840927511e-01
 4.000000000000000e-02   -7.296932488722084e-02    3.730358942230901e-01    3.141592653589793e+02    1.230334882776145e-01   -2.944499219859845e-06   -9.924025195219531e-01   -9.698656474336977e-04    9.999995220902512e-01   -1.232065106363568e-04    9.924020456059487e-01    9.776556388997578e-04    1.230334266229345e-01
 5.000000000000000e-02    1.132376717094312e-01   -4.598153368016267e-01    3.141592653589793e+02   -1.188966411221378e-01    8.871089749771122e-06    9.929066364221331e-01    1.887127646685819e-03   -9.999981917814802e-01    2.349105179806328e-04    9.929048431139446e-01    1.901671635731804e-03    1.188964093901365e-01
 6.000000000000000e-02   -1.617023936461111e-01    5.423589506322295e-01    3.141592653589793e+02    1.139160291199448e-01   -2.172889906123859e-05   -9.934903813511829e-01   -3.245876541138255e-03    9.999946544902111e-01   -3.940512730050637e-04    9.934850792010106e-01    3.269635878978119e-03    1.139153496513503e-01
 7.000000000000001e-02    2.179219001760263e-01   -6.199026630632464e-01    3.141592653589793e+02   -1.081362633955420e-01    4.609482866324869e-05    9.941360804306520e-01    5.126039396175405e-03   -9.999866793956285e-01    6.039464544074151e-04    9.941228657761455e-01    5.161289226335712e-03    1.081345866712200e-01
 8.000000000000000e-02   -2.813830690809407e-01    6.917267484187948e-01    3.141592653589793e+02    1.016094010787402e-01   -8.794338735700069e-05   -9.948243673524837e-01   -7.602991513897379e-03    9.999707227596243e-01   -8.649529052479955e-04    9.947953177073557e-01    7.651528569487183e-03    1.016057576030100e-01
 9.000000000000001e-02    3.515055550791372e-01   -7.571624023774473e-01    3.141592653589793e+02   -9.439459121605397e-02    1.546143786551597e-04    9.955348498387298e-01    1.074681739373067e-02   -9.999415617716898e-01    1.174290159918167e-03    9.954768541081628e-01    1.080967787995824e-02    9.438741335083289e-02
