         time                     bimag                    bjmag                    bkmag                    bibj                     bkbi                     bjbk                     epum
 3.000000000000000e-01    9.999999999997647e-01    9.999999999997287e-01    1.000000000000104e+00   -8.574304460884363e-14    3.139849491518021e-13    4.391523494677585e-13    1.543404844353965e+03
 3.100000000000000e-01    9.999999999997581e-01    9.999999999997125e-01    1.000000000000114e+00   -9.437936543399417e-14   -3.139016824249552e-13   -4.627620986061287e-13    1.543404844353965e+03
 3.200000000000000e-01    9.999999999997505e-01    9.999999999996966e-01    1.000000000000122e+00   -1.018690340415240e-13    3.130412595808707e-13    4.850471153200475e-13    1.543404844353965e+03
 3.300000000000000e-01    9.999999999997445e-01    9.999999999996803e-01    1.000000000000134e+00   -1.074799971245710e-13   -3.108485691072360e-13   -5.067925246127203e-13    1.543404844353965e+03
 3.400000000000000e-01    9.999999999997378e-01    9.999999999996652e-01    1.000000000000142e+00   -1.123736520503016e-13    3.067268661283151e-13    5.275675729610185e-13    1.543404844353965e+03
 3.500000000000000e-01    9.999999999997325e-01    9.999999999996474e-01    1.000000000000151e+00   -1.175830266486599e-13   -3.025635297859708e-13   -5.472961493724338e-13    1.543404844353965e+03
 3.600000000000000e-01    9.999999999997276e-01    9.999999999996290e-01    1.000000000000160e+00   -1.219007533803662e-13    2.974842594483107e-13    5.652583436044356e-13    1.543404844353965e+03
 3.700000000000001e-01    9.999999999997226e-01    9.999999999996104e-01    1.000000000000171e+00   -1.268950222677034e-13   -2.909755769664457e-13   -5.823285647091336e-13    1.543404844353965e+03
 3.800000000000000e-01    9.999999999997164e-01    9.999999999995927e-01    1.000000000000180e+00   -1.286366846375842e-13    2.836689216856314e-13    5.983905862136374e-13    1.543404844353965e+03
 3.900000000000000e-01    9.999999999997120e-01    9.999999999995757e-01    1.000000000000189e+00   -1.318979647724206e-13   -2.759042994071592e-13   -6.128244613157197e-13    1.543404844353965e+03
 4.000000000000000e-01    9.999999999997065e-01    9.999999999995577e-01    1.000000000000198e+00   -1.317279618717748e-13    2.676400767676057e-13    6.264120082019597e-13    1.543404844353965e+03
 4.100000000000000e-01    9.999999999997000e-01    9.999999999995410e-01    1.000000000000207e+00   -1.337575883386677e-13   -2.586264535864302e-13   -6.383073323373845e-13    1.543404844353965e+03
 4.200000000000000e-01    9.999999999996936e-01    9.999999999995230e-01    1.000000000000215e+00   -1.331608434629317e-13    2.493283357551945e-13    6.485623670060559e-13    1.543404844353965e+03
 4.300000000000000e-01    9.999999999996886e-01    9.999999999995066e-01    1.000000000000224e+00   -1.317973508108139e-13   -2.401169540977577e-13   -6.581883475742512e-13    1.543404844353965e+03
 4.400000000000001e-01    9.999999999996837e-01    9.999999999994901e-01    1.000000000000230e+00   -1.294866991408128e-13    2.310686364470627e-13    6.668466777035031e-13    1.543404844353965e+03
 4.500000000000000e-01    9.999999999996783e-01    9.999999999994749e-01    1.000000000000236e+00   -1.261768467486490e-13   -2.213177557885970e-13   -6.756679092091711e-13    1.543404844353966e+03
 4.600000000000000e-01    9.999999999996725e-01    9.999999999994597e-01    1.000000000000244e+00   -1.226380108576564e-13    2.124706660611153e-13    6.855396241997602e-13    1.543404844353966e+03
 4.700000000000000e-01    9.999999999996675e-01    9.999999999994432e-01    1.000000000000251e+00   -1.179369102377592e-13   -2.040052154983485e-13   -6.919345196636228e-13    1.543404844353966e+03
 4.800000000000000e-01    9.999999999996629e-01    9.999999999994279e-01    1.000000000000257e+00   -1.147693051706256e-13    1.947886296704837e-13    6.960414232828893e-13    1.543404844353966e+03
 4.900000000000000e-01    9.999999999996593e-01    9.999999999994151e-01    1.000000000000262e+00   -1.092702317517791e-13   -1.872182964213209e-13   -7.013305951611426e-13    1.543404844353966e+03
 5.000000000000000e-01    9.999999999996553e-01    9.999999999994021e-01    1.000000000000267e+00   -1.047183173508159e-13    1.791553017049807e-13    7.053108097565541e-13    1.543404844353966e+03
 5.100000000000000e-01    9.999999999996487e-01    9.999999999993905e-01    1.000000000000272e+00   -9.856004901109827e-14   -1.710159791556976e-13   -7.073354488934536e-13    1.543404844353967e+03
 5.200000000000000e-01    9.999999999996427e-01    9.999999999993792e-01    1.000000000000274e+00   -9.217626661950362e-14    1.635983015724207e-13    7.090504398898911e-13    1.543404844353967e+03
 5.300000000000000e-01    9.999999999996380e-01    9.999999999993691e-01    1.000000000000276e+00   -8.662515149637784e-14   -1.575684027699253e-13   -7.129537845512735e-13    1.543404844353967e+03
 5.400000000000000e-01    9.999999999996315e-01    9.999999999993600e-01    1.000000000000280e+00   -8.273590146323784e-14    1.512540093173698e-13    7.151811694944277e-13    1.543404844353967e+03
 5.500000000000000e-01    9.999999999996249e-01    9.999999999993510e-01    1.000000000000282e+00   -7.796541190430162e-14   -1.464800503114816e-13   -7.164672501114300e-13    1.543404844353967e+03
 5.600000000000001e-01    9.999999999996186e-01    9.999999999993427e-01    1.000000000000282e+00   -7.326431128440447e-14    1.417060913055934e-13    7.217230285627707e-13    1.543404844353967e+03
 5.700000000000001e-01    9.999999999996131e-01    9.999999999993346e-01    1.000000000000282e+00   -6.956935028057387e-14   -1.371264213290146e-13   -7.207396571923264e-13    1.543404844353968e+03
 5.800000000000001e-01    9.999999999996076e-01    9.999999999993244e-01    1.000000000000282e+00   -6.573214195171317e-14    1.333377852574813e-13    7.234885433804461e-13    1.543404844353968e+03
 5.900000000000001e-01    9.999999999996005e-01    9.999999999993164e-01    1.000000000000282e+00   -6.245004513516506e-14   -1.302291607885309e-13   -7.249029935346707e-13    1.543404844353968e+03
 6.000000000000001e-01    9.999999999995950e-01    9.999999999993078e-01    1.000000000000282e+00   -6.015847542339969e-14    1.275646255294305e-13    7.257851004222049e-13    1.543404844353968e+03
 6.100000000000001e-01    9.999999999995902e-01    9.999999999993013e-01    1.000000000000284e+00   -5.711923989348833e-14   -1.257466353266068e-13   -7.265811216572438e-13    1.543404844353968e+03
 6.200000000000000e-01    9.999999999995830e-01    9.999999999992949e-01    1.000000000000285e+00   -5.469756592102470e-14    1.241506897287081e-13    7.287393345017934e-13    1.543404844353968e+03
 6.300000000000000e-01    9.999999999995770e-01    9.999999999992882e-01    1.000000000000286e+00   -5.182312912133114e-14   -1.238731339725518e-13   -7.312516477758768e-13    1.543404844353968e+03
 6.400000000000000e-01    9.999999999995691e-01    9.999999999992821e-01    1.000000000000286e+00   -5.159414562250220e-14    1.245670233629426e-13    7.314212169956535e-13    1.543404844353968e+03
 6.500000000000000e-01    9.999999999995617e-01    9.999999999992754e-01    1.000000000000286e+00   -4.973972622668299e-14   -1.249833569971770e-13   -7.316185417910459e-13    1.543404844353968e+03
 6.600000000000000e-01    9.999999999995552e-01    9.999999999992678e-01    1.000000000000287e+00   -5.061749630552725e-14    1.252054016021020e-13    7.331234144064558e-13    1.543404844353968e+03
 6.700000000000000e-01    9.999999999995468e-01    9.999999999992611e-01    1.000000000000288e+00   -5.203823483235226e-14   -1.260658244461865e-13   -7.310439146396286e-13    1.543404844353968e+03
 6.800000000000000e-01    9.999999999995407e-01    9.999999999992535e-01    1.000000000000288e+00   -5.310855921702995e-14    1.268846139268476e-13    7.330008995609649e-13    1.543404844353968e+03
 6.900000000000001e-01    9.999999999995323e-01    9.999999999992465e-01    1.000000000000287e+00   -5.602636410362294e-14   -1.291050599760979e-13   -7.311907156137831e-13    1.543404844353968e+03
 7.000000000000001e-01    9.999999999995262e-01    9.999999999992388e-01    1.000000000000288e+00   -6.122012619069750e-14    1.307148833618044e-13    7.313804509939681e-13    1.543404844353968e+03
 7.100000000000001e-01    9.999999999995184e-01    9.999999999992329e-01    1.000000000000289e+00   -6.536785002175804e-14   -1.336569743770610e-13   -7.339311450249575e-13    1.543404844353968e+03
 7.200000000000001e-01    9.999999999995107e-01    9.999999999992242e-01    1.000000000000290e+00   -6.977404765073913e-14    1.357386425482332e-13    7.359468937040425e-13    1.543404844353968e+03
 7.300000000000001e-01    9.999999999995051e-01    9.999999999992155e-01    1.000000000000294e+00   -7.441616767245307e-14   -1.380284775365226e-13   -7.374710651181227e-13    1.543404844353968e+03
 7.400000000000001e-01    9.999999999994980e-01    9.999999999992052e-01    1.000000000000295e+00   -8.108791416105987e-14    1.400685123442713e-13    7.362400619714826e-13    1.543404844353967e+03
 7.500000000000001e-01    9.999999999994889e-01    9.999999999991964e-01    1.000000000000298e+00   -8.769721060453151e-14   -1.412481243079355e-13   -7.355784818058320e-13    1.543404844353967e+03
 7.600000000000000e-01    9.999999999994809e-01    9.999999999991863e-01    1.000000000000302e+00   -9.609153750478328e-14    1.428579476936420e-13    7.329367147923538e-13    1.543404844353967e+03
 7.700000000000000e-01    9.999999999994724e-01    9.999999999991753e-01    1.000000000000306e+00   -1.043626990382407e-13   -1.441485819597688e-13   -7.347290094036896e-13    1.543404844353967e+03
 7.800000000000000e-01    9.999999999994642e-01    9.999999999991651e-01    1.000000000000312e+00   -1.116832321068628e-13    1.455363607405502e-13    7.306797311298907e-13    1.543404844353967e+03
 7.900000000000000e-01    9.999999999994577e-01    9.999999999991537e-01    1.000000000000320e+00   -1.195328558356579e-13   -1.459804499504003e-13   -7.294025409707028e-13    1.543404844353967e+03
 8.000000000000000e-01    9.999999999994493e-01    9.999999999991420e-01    1.000000000000327e+00   -1.279254480124337e-13    1.465147447810011e-13    7.238551663450721e-13    1.543404844353966e+03
 8.100000000000001e-01    9.999999999994400e-01    9.999999999991284e-01    1.000000000000336e+00   -1.364307972151479e-13   -1.470733257402657e-13   -7.204757081734348e-13    1.543404844353966e+03
