         time                     bimag                    bjmag                    bkmag                    bibj                     bkbi                     bjbk                     epum
 3.300000000000000e-01    9.999999999997768e-01    9.999999999997776e-01    1.000000000000008e+00    1.129304982860901e-15   -1.304512053934559e-15    2.940356291780688e-16    1.543404844353996e+03
 3.400000000000000e-01    9.999999999997712e-01    9.999999999997720e-01    1.000000000000009e+00    1.101549407245273e-15   -9.714451465470120e-16   -3.611477436549215e-16    1.543404844354009e+03
 3.500000000000000e-01    9.999999999997649e-01    9.999999999997643e-01    1.000000000000010e+00   -8.222589276130066e-16   -8.881784197001252e-16   -1.116077716356578e-15    1.543404844354016e+03
 3.600000000000000e-01    9.999999999997581e-01    9.999999999997566e-01    1.000000000000010e+00   -2.116362640691705e-15   -2.414735078559715e-15   -2.657271104544723e-15    1.543404844354022e+03
 3.700000000000001e-01    9.999999999997501e-01    9.999999999997495e-01    1.000000000000011e+00   -2.008809785181143e-15   -2.858824288409778e-15   -3.485926824975394e-15    1.543404844354035e+03
 3.800000000000000e-01    9.999999999997431e-01    9.999999999997420e-01    1.000000000000012e+00   -1.281960648746860e-15   -3.344546861683284e-15   -4.152928001488476e-15    1.543404844354045e+03
 3.900000000000000e-01    9.999999999997362e-01    9.999999999997354e-01    1.000000000000013e+00   -1.863093013199091e-15   -3.212707877509047e-15   -3.501756176693682e-15    1.543404844354056e+03
 4.000000000000000e-01    9.999999999997291e-01    9.999999999997281e-01    1.000000000000013e+00   -1.738192922928761e-15   -2.768618667658984e-15   -3.897273129216394e-15    1.543404844354050e+03
 4.100000000000000e-01    9.999999999997251e-01    9.999999999997194e-01    1.000000000000011e+00   -2.262079412673756e-15   -2.706168622523819e-16   -2.803204716961272e-15    1.543404844354042e+03
 4.200000000000000e-01    9.999999999997200e-01    9.999999999997119e-01    1.000000000000010e+00   -1.765948498544390e-15   -2.775557561562891e-16   -2.493990257368406e-15    1.543404844354036e+03
 4.300000000000000e-01    9.999999999997137e-01    9.999999999997042e-01    1.000000000000009e+00   -3.212707877509047e-15    1.318389841742373e-15   -1.569220014346895e-15    1.543404844354033e+03
 4.400000000000001e-01    9.999999999997066e-01    9.999999999996951e-01    1.000000000000010e+00   -2.477185123694881e-15    6.227657278756737e-16   -2.187486303206754e-15    1.543404844354026e+03
 4.500000000000000e-01    9.999999999997009e-01    9.999999999996890e-01    1.000000000000011e+00   -1.647987302177967e-15    2.366162821232365e-15   -2.905024853484817e-15    1.543404844354027e+03
 4.600000000000000e-01    9.999999999996940e-01    9.999999999996820e-01    1.000000000000012e+00   -3.243932900076629e-15    1.091141066389412e-15   -3.371895861484231e-15    1.543404844354033e+03
 4.700000000000000e-01    9.999999999996864e-01    9.999999999996748e-01    1.000000000000013e+00   -3.677613769070831e-15    8.569533971325427e-16   -2.302791204250587e-15    1.543404844354042e+03
 4.800000000000000e-01    9.999999999996786e-01    9.999999999996675e-01    1.000000000000014e+00   -3.594347042223944e-15    7.702172233337023e-16   -3.361785676225804e-15    1.543404844354049e+03
 4.900000000000000e-01    9.999999999996717e-01    9.999999999996582e-01    1.000000000000014e+00   -5.089678678515952e-15    2.026157019940911e-15   -2.684267738639612e-15    1.543404844354058e+03
 5.000000000000000e-01    9.999999999996642e-01    9.999999999996506e-01    1.000000000000014e+00   -5.821731985378165e-15    2.838007606698056e-15   -2.993048517363484e-15    1.543404844354062e+03
 5.100000000000000e-01    9.999999999996586e-01    9.999999999996453e-01    1.000000000000012e+00   -5.748873599387139e-15    3.448630270241893e-15   -3.982816680625501e-15    1.543404844354058e+03
 5.200000000000000e-01    9.999999999996517e-01    9.999999999996398e-01    1.000000000000011e+00   -5.578870698741412e-15    4.836409051023338e-15   -3.996586048216066e-15    1.543404844354063e+03
 5.300000000000000e-01    9.999999999996468e-01    9.999999999996325e-01    1.000000000000011e+00   -6.269290642180181e-15    4.149458554536523e-15   -2.495616560627134e-15    1.543404844354062e+03
 5.400000000000000e-01    9.999999999996404e-01    9.999999999996259e-01    1.000000000000011e+00   -6.293576770843856e-15    3.025357742103552e-15   -3.448847110676390e-15    1.543404844354058e+03
 5.500000000000000e-01    9.999999999996337e-01    9.999999999996183e-01    1.000000000000011e+00   -6.359496262930975e-15    3.358424649491099e-15   -5.231275482242559e-15    1.543404844354061e+03
 5.600000000000001e-01    9.999999999996260e-01    9.999999999996121e-01    1.000000000000011e+00   -3.757411048965764e-15    5.342948306008566e-15   -4.351553839487821e-15    1.543404844354056e+03
