         time                    bomegax                  bomegay                  bomegaz                    bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 1.100000000000000e-01    3.130828280848019e+02    6.953371724718467e+00    2.505688281530711e+01   -7.817057622957690e-02    3.977055731024561e-04    9.969399193743155e-01    1.928466796324718e-02   -9.998122072502200e-01    1.910972223039781e-03    9.967534612899472e-01    1.937503712427578e-02    7.814822674220163e-02
 1.200000000000000e-01    3.132432073105385e+02    8.727908284919650e+00    2.235490530051339e+01    6.931096022413831e-02   -5.939237877981033e-04   -9.975949268351242e-01   -2.478604371033354e-02    9.996900931564794e-01   -2.317257390038066e-03    9.972871416146928e-01    2.488704279653824e-02    6.927475926228135e-02
 1.300000000000000e-01    3.133686517197395e+02    1.076934668900467e+01    1.953236110346715e+01   -6.006135785997986e-02    8.538047864583387e-04    9.981943219179438e-01    3.116771307260165e-02   -9.995104397490157e-01    2.730291994514778e-03    9.977079767917286e-01    3.127541926078789e-02    6.000534306395706e-02
 1.400000000000000e-01    3.134489461598053e+02    1.308744712783840e+01    1.661521734397031e+01    5.050855658271249e-02   -1.187561483962886e-03   -9.987229222409285e-01   -3.846311772705599e-02    9.992551077728526e-01   -3.133395025807043e-03    9.979827023985184e-01    3.857226059482828e-02    5.042525583435453e-02
 1.500000000000000e-01    3.134738189646461e+02    1.568925407309004e+01    1.363046988038804e+01   -4.074277938137225e-02    1.604591411811683e-03    9.991683798111678e-01    4.669664883931204e-02   -9.989029556561121e-01    3.508299938446910e-03    9.980778771796633e-01    4.680075285379069e-02    4.062315370401724e-02
 1.600000000000000e-01    3.134330943285734e+02    1.857899969355765e+01    1.060590687091732e+01    3.085681634340534e-02   -2.112880938071831e-03   -9.995215818675800e-01   -5.588323253541519e-02    9.984299430272264e-01   -3.835777343076906e-03    9.979603805795846e-01    5.597485686069577e-02    3.069029476697331e-02
 1.700000000000000e-01    3.133168469328940e+02    2.175803369566593e+01    7.569859133250389e+00   -2.094509254308529e-02    2.718394492539615e-03    9.997769318350506e-01    6.602800864610850e-02   -9.978093616865743e-01    4.096315982630725e-03    9.975979175863372e-01    6.609907761674079e-02    2.071971924582933e-02
 1.800000000000000e-01    3.131155567804717e+02    2.522478144192053e+01    4.550939158712890e+00    1.110268139970596e-02   -3.424474138309705e-03   -9.999324994430193e-01   -7.712611472634368e-02    9.970121977059525e-01   -4.270837449934634e-03    9.969595241999365e-01    7.716832641817978e-02    1.080539239748471e-02
 1.900000000000000e-01    3.128202620789295e+02    2.897473197005456e+01    1.577770971898269e+00   -1.424275094487558e-03    4.231275836510517e-03    9.999900338228295e-01    8.916258624581672e-02   -9.960076231137917e-01    4.341418306957655e-03    9.960160664640031e-01    8.916788100967685e-02    1.041317354817299e-03
 2.000000000000000e-01    3.124227079274233e+02    3.300045724024285e+01   -1.321286644420362e+00   -7.996874047629403e-03   -5.135268721232216e-03   -9.999548384903936e-01   -1.021123822088653e-01    9.947636102111785e-01   -4.291992426167755e-03    9.947407257195756e-01    1.020734481367204e-01   -8.479373820432658e-03
 2.100000000000000e-01    3.119154885110185e+02    3.729166357924926e+01   -4.118420728784399e+00    1.707002523709237e-02    6.128822592793563e-03    9.998355123577792e-01    1.159405433164290e-01   -9.932476561665451e-01    4.109006555739264e-03    9.931094625739433e-01    1.158513316842474e-01   -1.766534157875035e-02
 2.200000000000000e-01    3.112921804961177e+02    4.183527587248740e+01   -6.786645414737616e+00   -2.570801627691981e-02   -7.199906648270199e-03   -9.996435660989695e-01   -1.306024871764425e-01    9.914276003792578e-01   -3.782003339316457e-03    9.911014520433511e-01    1.304587082190886e-01   -2.642796260364638e-02
 2.300000000000000e-01    3.105474653547020e+02    4.661555458421748e+01   -9.300080551656437e+00    3.382830706704745e-02    8.331919245447888e-03    9.993929281130386e-01    1.460444420743894e-01   -9.892725124086463e-01    3.304108284454728e-03    9.886994824415380e-01    1.458440102097745e-01   -3.468224482037185e-02
 2.400000000000000e-01    3.096772384277990e+02    5.161424517162260e+01   -1.163422414367032e+01   -4.135397992375876e-02   -9.503664331229532e-03   -9.990993587769028e-01   -1.622040175280888e-01    9.867536242514958e-01   -2.672400412076727e-03    9.858903108572555e-01    1.619474155104170e-01   -4.234772210276862e-02
 2.500000000000000e-01    3.086787026716459e+02    5.681075891193106e+01   -1.376621496115918e+01    4.821467699417289e-02    1.068948519704071e-02    9.987797954645623e-01    1.790109063851172e-01   -9.838452776137069e-01    1.888150431157771e-03    9.826649685002135e-01    1.787014399021585e-01   -4.934931670631808e-02
 2.600000000000000e-01    3.075504452138292e+02    6.218238359688002e+01   -1.567508163738981e+01   -5.434745561289964e-02   -1.185956063022502e-02   -9.984516537568111e-01   -1.963877097077140e-01    9.805258547273782e-01   -9.569151233196310e-04    9.790190097971312e-01    1.960316276330603e-01   -5.561815731742485e-02
 2.700000000000000e-01    3.062924950798737e+02    6.770452198116629e+01   -1.734197460233560e+01    5.969754368377222e-02    1.298036252787823e-02    9.981321122308434e-01    2.142508722682664e-01   -9.767786603400301e-01   -1.115179888992279e-04    9.749526998836422e-01    2.138573330345167e-01   -6.109234073900482e-02
 2.800000000000000e-01    3.049063607301082e+02    7.335095531780649e+01   -1.875037733086070e+01   -6.421897905757158e-02   -1.401526786783041e-02   -9.978374090978062e-01   -2.325117132911368e-01    9.725927228278026e-01    1.303335892092602e-03    9.704711360525933e-01    2.320925844757688e-01   -6.571762564303262e-02
 2.900000000000000e-01    3.033950463670211e+02    7.909412879075272e+01   -1.988629359458024e+01    6.787511936913655e-02    1.492531184919289e-02    9.975821786882725e-01    2.510775342621420e-01   -9.679634839854770e-01   -2.601049625054230e-03    9.655842997685135e-01    2.506470202027900e-01   -6.944804751769686e-02
 3.000000000000000e-01    3.017630463278966e+02    8.490545518070665e+01   -2.073840770403594e+01   -7.063901181690667e-02   -1.567006328246710e-02   -9.973788543606940e-01   -2.698527833125502e-01    9.628933498923334e-01    3.983976805592921e-03    9.603070370188790e-01    2.694268840510749e-01   -7.224644491295085e-02
 3.100000000000000e-01    3.000163172579914e+02    9.075563268996272e+01   -2.129821510534079e+01    7.249361580996477e-02    1.620859818015861e-02    9.972371618684360e-01    2.887402539788875e-01   -9.573920792560572e-01   -5.428840534928909e-03    9.546589660182209e-01    2.883360676752318e-01   -7.408488832830562e-02
 3.200000000000000e-01    2.981622281561116e+02    9.661497252074740e+01   -2.156012114498454e+01   -7.343187514473627e-02   -1.650054320333245e-02   -9.971637236614114e-01   -3.076422951273193e-01    9.514769906540035e-01    6.910463397588499e-03    9.486643125792665e-01    3.072771848504383e-01   -7.494500456274593e-02
 3.300000000000000e-01    2.962094887867856e+02    1.024537315609922e+02   -2.152150632710891e+01    7.345664026114102e-02    1.650715735672016e-02    9.971617901610047e-01    3.264620085667205e-01   -9.451729759296776e-01   -8.402531426590747e-03    9.423516747818156e-01    3.261526626103819e-01   -7.481819102385544e-02
 3.400000000000000e-01    2.941680573502097e+02    1.082424453910075e+02   -2.118275694565627e+01   -7.258044501223952e-02   -1.619241824576016e-02   -9.972311089174475e-01   -3.451044113791274e-01    9.385123134293301e-01    9.878400059574124e-03    9.357537198688822e-01    3.448658335244033e-01   -7.370571632570824e-02
 3.500000000000000e-01    2.920490286817682e+02    1.139522567899085e+02   -2.054726056396848e+01    7.082514610518967e-02    1.552407841685672e-02    9.973679369560742e-01    3.634775412568773e-01   -9.315342815158698e-01   -1.131191239781001e-02    9.289068175446802e-01    3.633220133017179e-01   -7.161870544362774e-02
 3.600000000000000e-01    2.898645046066526e+02    1.195552349940428e+02   -1.962136641977835e+01   -6.822143678442387e-02   -1.447465783685795e-02   -9.975651957857646e-01   -3.814934851040720e-01    9.242845795955511e-01    1.267819957793067e-02    9.218506150055787e-01    3.814295481500698e-01   -6.857800968159918e-02
 3.700000000000001e-01    2.876274483921190e+02    1.250246811393728e+02   -1.841431143666241e+01    6.480824929278182e-02    1.302234041256774e-02    9.978127627332114e-01    3.990693137552411e-01   -9.168145704534952e-01   -1.395443379694116e-02    9.146275600715623e-01    3.991008169046229e-01   -6.461396368917120e-02
 3.800000000000000e-01    2.853515255119831e+02    1.303354156004260e+02   -1.693811310652537e+01   -6.063206304639535e-02   -1.115174552711566e-02   -9.980978867335221e-01   -4.161279087767220e-01    9.091803637457991e-01    1.512050646150884e-02    9.072823796744774e-01    4.162531738621694e-01   -5.976603368061698e-02
 3.900000000000000e-01    2.830509331581665e+02    1.354640433110639e+02   -1.520743105499650e+01    5.574613720425021e-02    8.854549742898831e-03    9.984057116899562e-01    4.325986708135428e-01   -9.014417657909223e-01   -1.615960697452199e-02    8.998615216782401e-01    4.328098194775299e-01   -5.408236280688518e-02
 4.000000000000000e-01    2.807402210977014e+02    1.403891936049792e+02   -1.323939959775679e+01   -5.020968734444222e-02   -6.129938908837191e-03   -9.987198862269668e-01   -4.484181026774327e-01    8.936611251306384e-01    1.705868168614632e-02    8.924125685398306e-01    4.487005875623334e-01   -4.761922125974491e-02
